Staging ID,System ID,Vessel Name,Canonical Vessel ID,IMO,MMSI,USCG Official Number,Canadian Official Number,Call Sign,Vessel Type,Subtype / Class,Flag,Passenger Capacity,Vehicle Capacity,Freight / Lane Metres,Year Built,Shipyard,Propulsion / Fuel,Current Status,Primary Route,Data Status,Source URL,Notes
FERRY_VS_BC001,FERRY_SYS_0001,Baynes Sound Connector,VESSEL_00359,,,,,,Ro-Pax ferry,Cable ferry,Canada,150,45,,2015,,Cable ferry / diesel auxiliary,Operating,Buckley Bay – Denman Island West,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC002,FERRY_SYS_0001,Coastal Celebration,VESSEL_00360,,,,,,Ro-Pax ferry,Coastal Class,Canada,1604,310,,2008,,Diesel,Operating,Tsawwassen – Swartz Bay,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC003,FERRY_SYS_0001,Coastal Inspiration,VESSEL_00361,,,,,,Ro-Pax ferry,Coastal Class,Canada,1604,310,,2008,,Diesel,Operating,Tsawwassen – Duke Point,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC004,FERRY_SYS_0001,Coastal Renaissance,VESSEL_00362,,,,,,Ro-Pax ferry,Coastal Class,Canada,1604,310,,2007,,Diesel,Operating,Tsawwassen – Duke Point / major-route relief,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC005,FERRY_SYS_0001,Island Aurora,VESSEL_00363,,,,,,Ro-Pax ferry,Island Class,Canada,399,47,,2019,,Battery-equipped diesel-hybrid,Operating,Port McNeill – Alert Bay – Sointula,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC006,FERRY_SYS_0001,Island Discovery,VESSEL_00364,,,,,,Ro-Pax ferry,Island Class,Canada,399,47,,2019,,Battery-equipped diesel-hybrid,Operating,Powell River – Texada Island,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC007,FERRY_SYS_0001,Island Gwawis,VESSEL_00365,,,,,,Ro-Pax ferry,Island Class,Canada,399,47,,2021,,Battery-equipped diesel-hybrid,Operating,Gabriola Island – Nanaimo Harbour,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC008,FERRY_SYS_0001,Island Kwigwis,VESSEL_00366,,,,,,Ro-Pax ferry,Island Class,Canada,399,47,,2021,,Battery-equipped diesel-hybrid,Operating,Gabriola Island – Nanaimo Harbour,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC009,FERRY_SYS_0001,Island K’ulut’a,VESSEL_00367,,,,,,Ro-Pax ferry,Island Class,Canada,399,47,,2021,,Battery-equipped diesel-hybrid,Operating,Campbell River – Quadra Island,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC010,FERRY_SYS_0001,Island Nagalis,VESSEL_00368,,,,,,Ro-Pax ferry,Island Class,Canada,399,47,,2021,,Battery-equipped diesel-hybrid,Operating,Campbell River – Quadra Island / Cortes relief,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
