Date,Vessel,IMO,Location,IMO Description,Known / Assessed Actor,Event Class,Source
2026-08-31,SIDR,9854715,"17NM east of Khasab, Oman",Damaged; no pollution; 2 fatalities,Unidentified projectile attack; Iran suspected in reporting,Merchant vessel attack,https://www.imo.org/en/mediacentre/hottopics/pages/middle-east-highlighted-incidents.aspx
2026-08-31,SENEGAL PROSPERITY,9532757,"17NM east of Khasab, Oman",Damaged; no pollution,Unidentified projectile attack; Iran suspected in reporting,Merchant vessel attack,https://www.imo.org/en/mediacentre/hottopics/pages/middle-east-highlighted-incidents.aspx
2026-08-24,METRO VENETIAN,1013391,"9NM northeast of Ash Shishah, Oman",Damaged; no pollution,Unconfirmed,Merchant vessel attack,https://www.imo.org/en/mediacentre/hottopics/pages/middle-east-highlighted-incidents.aspx
2026-08-17,MINOAN DIGNITY,9294484,Strait of Hormuz,Damaged; no pollution; 1 fatality,Unconfirmed / regional conflict context,Merchant vessel attack,https://www.imo.org/en/mediacentre/hottopics/pages/middle-east-highlighted-incidents.aspx
2026-08-15,RIYAN STAR,9156761,Strait of Hormuz,Damaged; no pollution; 1 fatality,Unconfirmed / regional conflict context,Merchant vessel attack,https://www.imo.org/en/mediacentre/hottopics/pages/middle-east-highlighted-incidents.aspx
2026-08-14,AL WATAN,9615030,Strait of Hormuz,Damaged; no pollution,Unconfirmed,Merchant vessel attack,https://www.imo.org/en/mediacentre/hottopics/pages/middle-east-highlighted-incidents.aspx
2026-08-13,NAVIG8 MESSI,9482859,Strait of Hormuz,Damaged; no pollution,Unconfirmed,Merchant vessel attack,https://www.imo.org/en/mediacentre/hottopics/pages/middle-east-highlighted-incidents.aspx
2026-08-11,VELA NOVA,9136228,"70NM south of Gwadar, Pakistan",Damaged; no pollution,Unconfirmed,Merchant vessel attack,https://www.imo.org/en/mediacentre/hottopics/pages/middle-east-highlighted-incidents.aspx
2026-08-03,MINOAN PIONEER,9471630,"20NM northeast of Al Khasab, Oman",Damaged; pollution unconfirmed; 1 missing,Unconfirmed,Merchant vessel attack,https://www.imo.org/en/mediacentre/hottopics/pages/middle-east-highlighted-incidents.aspx
2026-07-31,GASLOG SHANGHAI,9600528,"11NM northeast of Lima, Oman",Damaged; no pollution,Unconfirmed,Merchant vessel attack,https://www.imo.org/en/mediacentre/hottopics/pages/middle-east-highlighted-incidents.aspx
