year,serial_no,date,time_local,ship_name,incident_type,flag,ship_type,latitude,longitude,latitude_decimal,longitude_decimal,area,area_description,ship_activity,description,category,source_page,source_file,source_url
2026,1,2026-08-24,0525,Juno Pacific,Robbery/ Theft,PANAMA,BULK CARRIER,1° 44.6' N,101° 22.6' E,1.743333,101.376667,Indonesia (Ports/Anchorages),"Lubuk Gaung Port, Indonesia",At Berth,"While the vessel was loading palm kernel shells at berth, the watch helmsman discovered two perpetrators rummaging through the spare parts room in the engine room. The watch helmsman immediately made an emergency call to the ship. The perpetrators fled towards the wheelhouse and jumped overboard from the stern deck upon being noticed. They escaped via a small boat waiting nearby. The crew then conducted a search on board. Some spare parts of the generator were stolen. The crew were not injured. The incident was reported to Polairud Marine Police. The Marine Police carried out information gathering on the ship.",4,1,List of Incidents for 2026.pdf,https://www.recaap.org/alerts
2026,2,2026-08-23,0106,YM Pioneer,Robbery/ Theft,LIBERIA,BULK CARRIER,10° 17.01' N,107° 2.34' E,10.2835,107.039,Vietnam (Ports/Anchorages),"Southwest of Vung Tau Light house, Anchorage H13, Vietnam",,"At Anchor While at anchor, at least one perpetrator boarded the ship through freeboard on port bow and went to the paint store at forecastle. A thorough search was conducted on board. 75 cans of paints and a set of cables for welding machines were stolen. The crew were not injured. The incident was reported to the local agent and Vung Tau Border Defence Force.",4,1,List of Incidents for 2026.pdf,https://www.recaap.org/alerts
2026,3,2026-08-10,0345,Hafnia Raven,Robbery/ Theft,SINGAPORE,OIL / CHEMICAL TANKER,22° 16.36' N,91° 48.47' E,22.272667,91.807833,Bangladesh (Ports/Anchorages),"Chittagong Port, Bangladesh",At Berth,"While berthed, the vessel’s shore security watchman and duty crew detected three to four perpetrators near the port- side midship store. The alarm was immediately raised, alerting the crew and security personnel. Upon activation of the ship’s alarm, the perpetrators escaped. A search was conducted and ship stores, including an emergency hydraulic hand pump, hydraulic blowers and spare PV valves, were stolen from the midship store. Investigation revealed the perpetrators gained access to the vessel from the seaside using hooks and ropes, and subsequently forced entry into the locked midship store. The crew was not injured. The Bangladesh Coast Guard (BCG) subsequently boarded the vessel to conduct further investigation.",4,1,List of Incidents for 2026.pdf,https://www.recaap.org/alerts
2026,4,2026-07-07,2239,Columbia River,Robbery/ Theft,"HONG KONG, CHINA",BULK CARRIER,6° 1' S,106° 55.5' E,-6.016667,106.925,Indonesia (Ports/Anchorages),"Jakarta Anchorage Zone E, Indonesia",,"At Anchor While anchored, two perpetrators wearing T-shirts and shorts boarded the ship from a small boat using a rope and hook via the poop deck port quarter. The alarm was raised and the perpetrators escaped with stolen engine store spares. The crew was not injured.",4,1,List of Incidents for 2026.pdf,https://www.recaap.org/alerts
2026,5,2026-07-05,0500,PM Crown,Robbery/ Theft,SINGAPORE,TANKER,1° 11.8' N,103° 25.1' E,1.196667,103.418333,Straits of Malacca & Singapore,Malacca Strait,While Sailing,"While the vessel was transiting the Malacca Strait prior to its arrival in Singapore, the third Engineer discovered that the spare store had been disturbed and immediately reported the incident to the Chief Engineer. A subsequent inventory check confirmed that two turbocharger service kits, two main bearing metal assemblies, one crankpin bearing metal, and one piston ring set were missing. All crew members were accounted for and safe. The incident was reported to the flag State.",4,1,List of Incidents for 2026.pdf,https://www.recaap.org/alerts
2026,6,2026-06-30,0430,Southern Hawk,Robbery/ Theft,SINGAPORE,BULK CARRIER,2° 0.85' S,122° 0.22' E,-2.014167,122.003667,Indonesia (Ports/Anchorages),"Bahodopi Anchorage, Indonesia",,"At Anchor While anchored, during routine safety rounds, the duty AB discovered that perpetrators boarded the vessel. The crew conducted a thorough search of the vessel. However, no perpetrators were found onboard. Subsequent onboard checks revealed that several items were stolen from the bosun store, including a brass bell, electrical wires and cables, butterfly nuts, stools, a chain locker sounding cap, a sounding pipe, and a hydraulic oil refilling cap. All crew members were safe and accounted for. The Master reported the incident through the local agent to the local Port Authority.",4,2,List of Incidents for 2026.pdf,https://www.recaap.org/alerts
2026,7,2026-06-29,0145,Hai Xu,Robbery/ Theft,SAO TOME & PRINCIPE,GENERAL CARGO SHIP,22° 10.77' N,91° 46.9' E,22.1795,91.781667,Bangladesh (Ports/Anchorages),"Charlie Anchorage, Chittagong Port Area, Bangladesh",While Sailing,"While underway, a group of perpetrators boarded the vessel and stole ship stores. As this was a vessel to be scrapped, there was no security staff or watchmen onboard. The ship's local agent informed BCG and Chittagong Port Authority. BCG sent a boarding party to the vessel and conducted an investigation onboard. BCG and River Police subsequently recovered and handed over the stolen items to concern authority and shipping agent.",4,2,List of Incidents for 2026.pdf,https://www.recaap.org/alerts
2026,8,2026-06-26,0040,Maria D,Robbery/ Theft,LIBERIA,BULK CARRIER,1° 8.43' N,103° 30.3' E,1.1405,103.505,Straits of Malacca & Singapore,"Approximately 9.7 nm off Pulau Iyu Kecil (Indonesia), in the eastbound lane of the Traffic Separation Scheme (TSS)",While Sailing,"While underway, five perpetrators armed with a knife and a in the engine room. Ship's gun-like object were sighted general alarm was activated, deck lights switched on and all crew mustered. A search was conducted with no further sighting of the perpetrators onboard. All crew were accounted for and were safe. Some engine spares were stolen. The incident was reported to Singapore Vessel Traffic Information System (VTIS). Safety broadcast on anti-piracy watch carried out to warn vessels to maintain a vigilant watch at all times in the Singapore Strait (SS). Republic of Singapore Navy (RSN) and Singapore Police Coast Guard (SPCG) were notified of the incident. SPCG boarded the vessel and conducted a security search. No perpetrators were found on board. Information was shared with the Indonesian authorities.",3,2,List of Incidents for 2026.pdf,https://www.recaap.org/alerts
2026,9,2026-06-22,1300,SDM Shenyang,Robbery/ Theft,LIBERIA,BULK CARRIER,3° 55.1' N,98° 47.3' E,3.918333,98.788333,Indonesia (Ports/Anchorages),"Belawan Anchorage, Indonesia",,"At Anchor While anchored, the duty officer onboard noticed several small boats near the forward of the vessel and notified the bosun to check. After several minutes, on not receiving any response from the bosun, the duty officer raised the alarm. Crew mustered and proceeded to the forecastle where they saw the bosun tied up. Seven perpetrators carrying knives were also seen escaping from the forecastle store. On investigating, ship properties were reported as stolen. The incident was reported to Belawan VTS, Coast Guard and the local agent.",2,2,List of Incidents for 2026.pdf,https://www.recaap.org/alerts
2026,10,2026-06-21,0300,Jin Hwa 45 & Jin Hwa 37,Robbery/ Theft,MALAYSIA,TUG BOAT & BARGE,1° 30.36' N,104° 54.09' E,1.506,104.9015,South China Sea,Approximately 25.4 nm off Pulau Bintan (Indonesia),While Sailing,"While underway, the barge was boarded by three perpetrators. Four lashing wires, eight turn buckles, one solar light and 10 shovels were stolen. The crew on the tug boat were not injured.",4,2,List of Incidents for 2026.pdf,https://www.recaap.org/alerts
2026,11,2026-06-19,1000,TS Pusan,Robbery/ Theft,MARSHALL ISLANDS,CONTAINER SHIP,14° 36.58' N,120° 48.96' E,14.609667,120.816,Philippines (Ports/Anchorages),"Manila International Container Terminal (MICT) Anchorage, Philippines",At Anchor While,"anchored, four perpetrators armed with knives/bladed weapons boarded the vessel by climbing a rope attached to the forecastle area. Upon boarding, the perpetrators proceeded to the bosun store and forcibly opened the door. After the incident was discovered, the crew immediately secured the area and activated the alarm. Some ship property/stores were stolen. The incident was reported to Vessel Traffic Management System (VTMS) Manila and Coast Guard Station (CGS) Manila. Upon receiving the report, Coast Guard Sub-Station (CGSS) North Harbor and CGS Manila personnel, together with Investigation Detection Unit (IDU) personnel carried out investigation.",3,3,List of Incidents for 2026.pdf,https://www.recaap.org/alerts
2026,12,2026-06-13,0503,Gul Bano,Robbery/ Theft,BANGLADESH,BULK CARRIER,1° 5.45' N,103° 43.88' E,1.090833,103.731333,Straits of Malacca & Singapore,"Approximately 3.2 nm off Pulau Cula (Indonesia), in the eastbound lane of the TSS",While Sailing,"While underway, four perpetrators were sighted in the engine room. One of the perpetrators carried a gun-like object and three perpetrators were unarmed. The ship’s general alarm was activated, deck lights switched on and the crew was mustered. A search was conducted, with no further sighting of the perpetrators onboard. All crew members were accounted for and safe, with no injuries reported. Some further assistance was engine spares were missing. No required. The incident was reported to Singapore VTIS. Safety broadcast on anti-piracy watch was carried out to warn all vessels to maintain a vigilant watch at all times in the SS. The RSN and SPCG were notified of the incident. Information was shared with the Indonesian authorities. Upon arrival at Eastern Holding A Anchorage (AEHA), SPCG boarded the vessel and conducted a search onboard, with no perpetrators found.",3,3,List of Incidents for 2026.pdf,https://www.recaap.org/alerts
2026,15,2026-06-05,0228,Xing Hai He,Robbery/ Theft,MARSHALL ISLANDS,BULK CARRIER,1° 4.16' N,103° 41.91' E,1.069333,103.6985,Straits of Malacca & Singapore,"Approximately 1.9 nm off Pulau Cula (Indonesia), in the eastbound lane of the TSS",While Sailing,"While underway, two unarmed perpetrators were sighted on deck by crew. The ship’s general alarm was activated, and all crew members were mustered and accounted for. The crew further was not injured and nothing was stolen. No assistance was required. The incident was reported to VTIS. Safety broadcast on anti- piracy watch was carried out to warn all vessels to maintain a vigilant watch at all times in the SS. The RSN and SPCG were notified of the incident. Information was shared with the Indonesian authority. Upon arrival at Pilot Eastern Boarding Ground B (PEBGB), SPCG boarded the vessel and conducted a search onboard, with no perpetrators found.",4,4,List of Incidents for 2026.pdf,https://www.recaap.org/alerts
2026,14,2026-06-05,0352,Star Luna,Robbery/ Theft,MARSHALL ISLANDS,BULK CARRIER,1° 3.73' N,103° 40.78' E,1.062167,103.679667,Straits of Malacca & Singapore,"Approximately 2.3 nm off Pulau Cula (Indonesia), in the eastbound lane of the TSS",While Sailing,"While underway, three perpetrators armed with knives and gun-like objects were sighted in the engine room. The ship's general alarm was activated and the crew mustered. A search was conducted, with no further sighting of the perpetrators onboard. All crew members were accounted for and safe. Some engine spares were missing. No further assistance was required. The incident was reported to Singapore VTIS. Safety broadcast on anti-piracy watch was carried out to warn all vessels to maintain a vigilant watch at all times in the SS. The RSN and SPCG were notified of the incident. Information was shared with the Indonesian authority. Upon arrival at AEHA, SPCG boarded the vessel and conducted a search onboard, with no perpetrators found.",3,4,List of Incidents for 2026.pdf,https://www.recaap.org/alerts
2026,16,2026-06-04,0454,CMA CGM Valparaiso,Robbery/ Theft,MALTA,CONTAINER SHIP,14° 36.58' N,120° 48.96' E,14.609667,120.816,Philippines (Ports/Anchorages),"MICT Anchorage, Philippines",,"At Anchor While at anchor, four perpetrators armed with guns and the ship knives were sighted onboard. Upon discovery, immediately reported to VTMS Corregidor and CGS Manila. The perpetrators disembarked via an unidentified motor banca. In response, CGS Manila immediately informed CGSS North Harbor to establish communication with the subject vessel. Despite several attempts, the station failed to get in touch with the vessel or the local agent for the exact location or other details pertaining to the perpetrators’ identity.",2,4,List of Incidents for 2026.pdf,https://www.recaap.org/alerts
