Warning,Date,UKMTO Classification,Analytical Classification,Port Relevance,Summary / Latest Update,Has Update,Latest Update No.,Confidence,Uploaded Source File
002-26,2026-02-17,Suspicious Activity,Piracy / armed robbery / suspicious approach,Offshore / regional maritime,"UKMTO received a report of an incident 70NM southwest of Aden, Yemen. A vessel was approached and hailed by one white skiff, with five persons onboard. This was followed by an exchange of small arms fire. Two additional skiffs were also reported in the vicinity. Update 001 UKMTO have been made aware that only warning shots were fired and no weapons were directed at either vessel. This incident has now been downgraded to suspicious activity. Authorities are continuing to investigate.",Yes,001,High,20260217-UKMTO_WARNING_002 Update 001 1.pdf
004-26,2026-03-01,Attack,Suspicious / security incident,Offshore / regional maritime,UKMTO has received a report of an incident 2NM north of Oman. The crew have been evacuated and safe. Authorities are investigating.,No,,Medium,20260301-UKMTO_WARNING_004-26 1.pdf
005-26,2026-03-01,Attack,Conflict / maritime security attack,Offshore / regional maritime,"UKMTO has received a report of an incident 50NM north of Muscat, Oman. It has been reported over VHF Channel 16 that the vessel has been struck by an unknown projectile above the waterline. Although the engine room was originally reported as on fire it has now been reported that the fire is under control. Update 001: UKMTO has received confirmation that the vessel was attacked by an Uncrewed Surface Vehicle (USV), and that the crew has been evacuated to shore. Authorities are investigating.",Yes,001,High,20260302-UKMTO_WARNING_005-26 -UPDATE_001.pdf
006-26,2026-03-01,Attack,Conflict / maritime security attack,Near-port / approaches,"UKMTO has received a report of an incident 17NM northwest of Mina Saqr, United Arab Emirates. The Company Security Officer reported that the vessel been struck by an unknown projectile causing a fire. The fire has been extinguished and the vessel intends to continue on its voyage. Authorities are investigating.",No,,High,20260301-UKMTO_WARNING_006-26.pdf
007-26,2026-03-01,Attack,Conflict / maritime security attack,Offshore / regional maritime,"UKMTO has received a report of an incident 35NM west of Sharjah, United Arab Emirates. It has been reported that an unknown projectile has exploded in very close proximity to a vessel. All crew are safe and well. Authorities are investigating.",No,,High,20260301-UKMTO_WARNING_007-26.pdf
008-26,2026-03-02,Attack,Conflict / maritime security attack,Port-side,UKMTO received a report of an incident in the Port of Bahrain. The Company Security Officer reported that the vessel had been struck by two unknown projectiles causing a fire. The fire has been extinguished and the vessel remains in port. All members of the ships crew are safe and have evacuated the vessel. Authorities are investigating. Vessels are to remain cautious and report any suspicious activity to UKMTO.,No,,High,20260302-UKMTO_WARNING_008-26.pdf
009-26,2026-03-03,Suspicious Activity,Conflict / maritime security attack,Offshore / regional maritime,"UKMTO has received a report of an incident 137NM east of Muscat, Oman. The Master reported a loud explosion in close proximity of the vessel followed by smoke in the water. The vessel and crew are safe. Authorities are investigating.",No,,High,20260303-UKMTO_WARNING_009-26.pdf
010-26,2026-03-03,Attack,Conflict / maritime security attack,Near-port / approaches,"UKMTO has received a report of an incident 7NM east of Fujairah, United Arab Emirates. The Master reported the vessel being struck by an unknown projectile causing damage to the steel plating. There has been no fire or water intake. All crew reported safe. Authorities are investigating.",No,,High,20260304-UKMTO_WARNING_010-26.pdf
011-26,2026-03-04,Attack,Conflict / maritime security attack,Near-port / approaches,"UKMTO has received a report of an incident 10NM east of Fujairah, UAE. The tanker experienced a loud blast and debris from an unknown projectile was found on the deck. The funnel of the tanker sustained minor damage but no major damage has been observed with no environmental implications. All crew are safe and accounted for. Authorities are investigating.",No,,High,20260304-UKMTO_WARNING_011-26.pdf
012-26,2026-03-04,Attack,Conflict / maritime security attack,Offshore / regional maritime,UKMTO has received a report of an incident 2NM north of Oman transiting eastbound in the Straits of Hormuz. A container ship has reported being hit by an unknown projectile just above the water line causing a fire in the engine room. Update 001 – The crew have now abandoned the vessel and all crew are accounted for with no reported injuries. No environmental impact has been reported at this time. Authorities are investigating.,Yes,001,High,20260304-UKMTO_WARNING_012-26 Update 001.pdf
013-26,2026-03-04,Suspicious Activity,Conflict / maritime security attack,Near-port / approaches,UKMTO has received a report of an incident 20NM west of Dubai. A container ship has reported witnessing a splash from an unknown projectile in close proximity to the vessel. No damage to the vessel has been reported. Authorities are investigating.,No,,High,20260304-UKMTO_WARNING_013-26.pdf
014-26,2026-03-04,Attack,Piracy / armed robbery / suspicious approach,Anchorage / port approaches,"UKMTO has received a report of an incident 30NM southeast of MUBARAK AL KABEER, KUWAIT. The Master of a tanker at anchor, reports witnessing and hearing a large explosion on the port side then seeing a small craft leave the vicinity. There is oil in the water coming from a cargo tank which could have some environmental impact, the vessel has taken on water, there are no fires reported and the crew are safe and well. Update 001 05 Mar 26 – UKMTO has received an update that the discharge from the tanker is ballast water. The tanker remains 30NM southeast of MUBARAK AL KABEER, KUWAIT, in IRAQI TTW’s. Authorities are investigating.",Yes,001,Medium,20260304-UKMTO_WARNING_014-26-UPDATE 001.pdf
015-26,2026-03-06,Attack,Conflict / maritime security attack,Offshore / regional maritime,UKMTO has received a report of an incident 6NM north of Oman in the Straits of Hormuz. A third-party source has reported a tug being hit by unknown projectiles in the Straits of Hormuz. Authorities are investigating.,No,,High,20260306-UKMTO_WARNING_015-26.pdf
016-26,2026-03-07,Attack,Suspicious / security incident,Near-port / approaches,"UKMTO has received a third-party report of an incident 10NM north of Jubail, Saudi Arabia in TTW. The report is being investigated.",No,,Medium,20260307-UKMTO_WARNING_016-26-UK-OS.pdf
