Vessel ID,Vessel Name,IMO,Owner Company ID,Operator Company ID,Vessel Type,Subtype / Class,Flag,Year Built,DWT,Capacity,Ramp Capacity,Free Height,Home Port,Primary Service,Fuel / Propulsion,Status,Source ID,Completeness Note,Gross Tonnage (GT),Net Tonnage (NT),LOA (m),Beam (m),MMSI,Call Sign,Registered Owner (Legal),Technical / ISM Manager
VESSEL_00001,UGR Al Samha,9973444,COMP_UGR,COMP_UGR,Ro-Ro / PCTC,,,2025,,,225 MT ramp,5.40 m,,,,Operating,SRC_0060,Public company fleet page,,,,,,,,
VESSEL_00002,UGR Zakher,9980411,COMP_UGR,COMP_UGR,Ro-Ro / PCTC,,,2025,,,225 MT ramp,5.40 m,,,,Operating,SRC_0060,Public company fleet page,,,,,,,,
VESSEL_00003,UGR Al Reef,9448138,COMP_UGR,COMP_UGR,Ro-Ro,,,2010,,,120 MT ramp,5.3 m,,,,Operating,SRC_0060,Public company fleet page,,,,,,,,
VESSEL_00004,Al Jubail,9547219,COMP_UGR,COMP_UGR,Ro-Ro,,,2014,,,350 MT ramp,7.0 m,,,,Operating,SRC_0060,Public company fleet page,,,,,,,,
VESSEL_00005,Ramhan,9668960,COMP_UGR,COMP_UGR,Ro-Ro,,,2015,,,350 MT ramp,7.0 m,,,,Operating,SRC_0060,Public company fleet page,,,,,,,,
VESSEL_00006,UGR Arabian Gulf,9431836,COMP_UGR,COMP_UGR,Ro-Ro,,,2010,,,120 MT ramp,5.3 m,,,,Operating,SRC_0060,Public company fleet page,,,,,,,,
VESSEL_00007,Erk İzmir,9179983,COMP_UGR,COMP_UGR,Ro-Ro,,,1998,,,5 MT ramp,2.30 m,,,,Operating,SRC_0060,Public company fleet page,,,,,,,,
VESSEL_00008,Abu Samrah,9925655,COMP_UGR,COMP_UGR,Ro-Ro,,,2023,,,75 MT ramp,7 m,,,,Operating,SRC_0060,Public company fleet page,,,,,,,,
VESSEL_00009,UGR İstanbul,9179995,COMP_UGR,COMP_UGR,Ro-Ro,,,1999,,,5 MT ramp,2.30 m,,,,Operating,SRC_0060,Public company fleet page,,,,,,,,
VESSEL_00010,Saffet Bey,8417118,COMP_UGR,COMP_UGR,Ro-Ro,,,1987,,,50 MT ramp,6.50 m,,,,Operating,SRC_0060,Public company fleet page,,,,,,,,
VESSEL_00011,Super Fast Baleares,9398527,COMP_UGR,COMP_UGR,Ro-Ro,,,2010,,,125 MT ramp,6.9 m,,,,Operating,SRC_0060,Public company fleet page,,,,,,,,
VESSEL_00012,Chang Sheng Hong,9177040,COMP_UGR,COMP_UGR,Ro-Ro,,,2000,,,100 MT ramp,5.1 m,,,,Operating,SRC_0060,Public company fleet page,,,,,,,,
VESSEL_00013,JINANAH,9395343,COMP_UGR,COMP_UGR,Ro-Ro,,,2009,,,225 MT ramp,5.5 m,,,,Operating,SRC_0060,Public company fleet page,,,,,,,,
VESSEL_00014,SDERIA,9395355,COMP_UGR,COMP_UGR,Ro-Ro,,,2010,,,225 MT ramp,5.5 m,,,,Operating,SRC_0060,Public company fleet page,,,,,,,,
VESSEL_00015,CMA CGM MONTE CRISTO,1021051,COMP_CMA_CGM,COMP_CMA_CGM,Container ship,Methanol-capable new series,,2026,,,,,,,Methanol,Operating,SRC_0045,CMA CGM identified this as its 400th owned vessel and first of a new methanol-powered series.,,,,,,,,
VESSEL_00016,Al Sadaf,9972957,COMP_ADNOC_LS,COMP_ADNOC_LS,LNG carrier,Hull 2703 / Jiangnan,,,,"175,000 m3",,,,,LNG carrier / new-generation gas shipping,Operating,SRC_0066,ADNOC L&S official fleet sheet; IMO and build year to be enriched.,,,,,,,,
VESSEL_00017,Arada,9972969,COMP_ADNOC_LS,COMP_ADNOC_LS,LNG carrier,Hull 2704 / Jiangnan,,,,"175,000 m3",,,,,LNG carrier / new-generation gas shipping,Operating,SRC_0066,ADNOC L&S official fleet sheet; IMO and build year to be enriched.,,,,,,,,
VESSEL_00018,Al Taweelah,9972971,COMP_ADNOC_LS,COMP_ADNOC_LS,LNG carrier,Hull 2705 / Jiangnan,,,,"175,000 m3",,,,,LNG carrier / new-generation gas shipping,Operating,SRC_0066,ADNOC L&S official fleet sheet; IMO and build year to be enriched.,,,,,,,,
VESSEL_00019,Al Hamra,9074640,COMP_ADNOC_LS,COMP_ADNOC_LS,LNG carrier,,,,,"137,000 m3",,,,,LNG carrier / new-generation gas shipping,Operating,SRC_0066,ADNOC L&S official fleet sheet; IMO and build year to be enriched.,,,,,,,,
VESSEL_00020,Al Rahba,9965435,COMP_ADNOC_LS,COMP_ADNOC_LS,LNG carrier,,,,,"175,000 m3",,,,,LNG carrier / new-generation gas shipping,Operating,SRC_0066,ADNOC L&S official fleet sheet; IMO and build year to be enriched.,,,,,,,,
VESSEL_00021,Al Reef,9972945,COMP_ADNOC_LS,COMP_ADNOC_LS,LNG carrier,,,,,"175,000 m3",,,,,LNG carrier / new-generation gas shipping,Operating,SRC_0066,ADNOC L&S official fleet sheet; IMO and build year to be enriched.,,,,,,,,
VESSEL_00022,Al Shelila,9965423,COMP_ADNOC_LS,COMP_ADNOC_LS,LNG carrier,,,,,"175,000 m3",,,,,LNG carrier / new-generation gas shipping,Operating,SRC_0066,ADNOC L&S official fleet sheet; IMO and build year to be enriched.,,,,,,,,
VESSEL_00023,Ish (FSU),9035864,COMP_ADNOC_LS,COMP_ADNOC_LS,LNG carrier,Floating storage use noted on fleet sheet,,,,"135,000 m3",,,,,LNG carrier / new-generation gas shipping,Operating / FSU,SRC_0066,ADNOC L&S official fleet sheet; IMO and build year to be enriched.,,,,,,,,
VESSEL_00024,Mraweh,9074638,COMP_ADNOC_LS,COMP_ADNOC_LS,LNG carrier,,,,,"137,000 m3",,,,,LNG carrier / new-generation gas shipping,Operating,SRC_0066,ADNOC L&S official fleet sheet; IMO and build year to be enriched.,,,,,,,,
VESSEL_00025,Mubaraz,9074626,COMP_ADNOC_LS,COMP_ADNOC_LS,LNG carrier,,,,,"137,000 m3",,,,,LNG carrier / new-generation gas shipping,Operating,SRC_0066,ADNOC L&S official fleet sheet; IMO and build year to be enriched.,,,,,,,,
VESSEL_00026,Shahamah,9035852,COMP_ADNOC_LS,COMP_ADNOC_LS,LNG carrier,,,,,"135,000 m3",,,,,LNG carrier / new-generation gas shipping,Operating,SRC_0066,ADNOC L&S official fleet sheet; IMO and build year to be enriched.,,,,,,,,
VESSEL_00027,Umm Al Ashtan,9074652,COMP_ADNOC_LS,COMP_ADNOC_LS,LNG carrier,,,,,"137,000 m3",,,,,LNG carrier / new-generation gas shipping,Operating,SRC_0066,ADNOC L&S official fleet sheet; IMO and build year to be enriched.,,,,,,,,
VESSEL_00028,Ruwais LNG H2711,,COMP_ADNOC_LS,COMP_ADNOC_LS,LNG carrier,Samsung Heavy Industries hull H2711,,,,"174,000 m3",,,,,LNG carrier / new-generation gas shipping,On order / newbuild,SRC_0066,ADNOC L&S official fleet sheet; IMO and build year to be enriched.,,,,,,,,
